date,date.0,date.1,date.2,date.3,date.4,date.5,OT,OT.1,OT.2
1,0.05007,0.05007,56.1383,5295.15974,-0.51972,45.00011,3.5402333424554597,1.318830069209999,0.0
2,0.10013,0.10013,56.06493,5293.30574,-0.53896,45.00027,3.574451694917668,1.3315773058412113,0.0
3,0.15017,0.15017,55.98895,5291.43697,-0.55769,45.00049,3.6103021626787952,1.3449325483648085,0.0
4,0.20019,0.2002,55.91045,5289.55237,-0.57589,45.00077,3.647787626159247,1.3588968698131807,0.0
5,0.2502,0.2502,55.82949,5287.6509,-0.59353,45.00111,3.686909637906695,1.3734708485511855,0.0
6,0.30019,0.30019,55.74615,5285.7315,-0.61058,45.0015,3.7276682235708383,1.3886544941340104,0.0
7,0.35015,0.35017,55.66053,5283.7931,-0.62702,45.00195,3.770061671829793,1.4044471690492264,0.0
8,0.4001,0.40012,55.57272,5281.83463,-0.64282,45.00246,3.814086313460351,1.4208475064146455,0.0
9,0.45004,0.45006,55.48279,5279.85503,-0.65796,45.00302,3.8597362898236702,1.4378533237331486,0.0
10,0.49995,0.49998,55.39086,5277.8532,-0.67241,45.00364,3.9070033111997584,1.455461532865923,0.0
11,0.54984,0.54988,55.29701,5275.82808,-0.68614,45.00432,3.9558764055426696,1.4736680464371623,0.0
12,0.59972,0.59977,55.20136,5273.77858,-0.69912,45.00505,4.006341658395109,1.492467680945412,0.0
13,0.64957,0.64963,55.104,5271.70363,-0.71134,45.00584,4.058381944880133,1.511854056923429,0.0
14,0.69941,0.69948,55.00505,5269.60216,-0.72277,45.00669,4.111976654897335,1.5318194965665266,0.0
15,0.74922,0.74932,54.90462,5267.4731,-0.73337,45.00759,4.167101412853631,1.5523549193249209,0.0
16,0.79902,0.79913,54.80283,5265.3154,-0.74314,45.00855,4.223727793505578,1.573449736047516,0.0
17,0.84879,0.84892,54.69979,5263.12801,-0.75203,45.00956,4.28182303570916,1.5950917423461692,0.0
18,0.89855,0.8987,54.59563,5260.9099,-0.76004,45.01062,4.341349756168257,1.6172670119594612,0.0
19,0.94828,0.94846,54.49048,5258.66005,-0.76713,45.01175,4.40226566549383,1.6399597909772736,0.0
20,0.99799,0.9982,54.38446,5256.37746,-0.77329,45.01292,4.464523289198812,1.663152393904047,0.0
21,1.04768,1.04792,54.2777,5254.06116,-0.77849,45.01415,4.528069696501192,1.6868251026307877,0.0
22,1.09735,1.09761,54.17027,5251.71034,-0.78385,45.00248,4.592896854117565,1.71097492454806,-9.99999982941839
23,1.14701,1.14727,54.06222,5249.32417,-0.78822,44.99067,4.658994168945356,1.7355979134464334,-9.99999982941839
24,1.19665,1.19691,53.95368,5246.90172,-0.7916,44.97872,4.726296799520599,1.760669914174498,-9.99999982941839
25,1.24629,1.24651,53.8448,5244.44207,-0.79396,44.96662,4.794733430933643,1.7861643600520016,-9.99999982941839
26,1.29591,1.29607,53.73571,5241.94435,-0.79529,44.95438,4.864226204135926,1.81205224653476,-9.99999982941839
27,1.34553,1.34561,53.62657,5239.40773,-0.79556,44.94198,4.934690525607212,1.838302060310694,-9.99999982941839
28,1.39513,1.39511,53.51752,5236.83143,-0.79477,44.92942,5.006034907618997,1.8648797197937517,-9.99999982941839
29,1.44471,1.44458,53.4087,5234.21471,-0.79289,44.91671,5.078160843674493,1.891748528722016,-9.99999982941839
30,1.49429,1.49402,53.30027,5231.55689,-0.78993,44.90383,5.150962723763126,1.9188691445877808,-9.99999982941839
31,1.54385,1.54342,53.19238,5228.85734,-0.78586,44.89079,5.2243277941406605,1.9461995636545908,-9.99999982941839
32,1.59339,1.59278,53.08517,5226.11551,-0.78068,44.87758,5.298136166271812,1.973695124288594,-9.99999982941839
33,1.64292,1.64211,52.97881,5223.33089,-0.77439,44.86421,5.37226087949957,2.001308530304519,-9.99999982941839
34,1.69244,1.6914,52.87344,5220.50307,-0.76698,44.85067,5.446568021754394,2.028989895933022,-9.99999982941839
35,1.74195,1.74066,52.76922,5217.6317,-0.75844,44.83696,5.520916912364425,2.0566868139223047,-9.99999982941839
36,1.79144,1.78988,52.6663,5214.71651,-0.74879,44.82307,5.595160350625448,2.0843444481369637,-9.99999982941839
37,1.84091,1.83906,52.56483,5211.75733,-0.73801,44.80902,5.669144933261469,2.1119056518204085,-9.99999982941839
38,1.89037,1.88821,52.46496,5208.75405,-0.72612,44.7948,5.742711443325008,2.139311112470452,-9.99999982941839
39,1.93981,1.93731,52.36685,5205.70668,-0.71313,44.7804,5.815695312390695,2.166499524018588,-9.99999982941839
40,1.98924,1.98638,52.27064,5202.61531,-0.69904,44.76584,5.887927157028364,2.1934077866803343,-9.99999982941839
